item,label,scripts,inputs,outputs,audit_scope
Table 1,tab:early-late-link-summary,tools/export_manuscript_tables.py,paper/current/cohorts/final_expanded_81.json; paper/current/data/current_statistics_v2/analysis_rows.csv; paper/current/data/prospective_validation/measurements.csv; paper/current/data/prospective_pilot/measurements.csv; paper/current/data/current_separate_statistics_v2/current_separate_paired_rows.csv; paper/current/data/current_statistics_v2/crossligand_rows.csv,paper/current/tables/main_table_1.csv; paper/current/tables/main_table_1.tex,Composition is counted from cohort rows; evidential roles and screened-candidate note are authored in the TeX.
Table 2,tab:early-late-measurements,src/posegate/trajectory.py,paper/current/tables/main_table_2.tex; configs/posegate_5ns_v2.yaml; configs/posegate_pilot20ns_v2.yaml,paper/current/tables/main_table_2.tex,"Definition table, not an estimated result; no numerical CSV."
Table 3,tab:early-clean-definitions,paper/current/source_analysis/remeasure_current_frames.py; paper/current/source_analysis/summarize_current_frames.py,paper/current/tables/main_table_3.tex; paper/current/data/current_frames_v2/,paper/current/tables/main_table_3.tex,Authored eligibility definitions; derived flags in analysis_rows.csv and estimates in S2.
Table 4,tab:representation-matched,paper/current/source_analysis/summarize_current_frames.py,paper/current/data/current_statistics_v2/analysis_rows.csv,paper/current/data/current_statistics_v2/statistics.json; paper/current/tables/main_table_4.csv; paper/current/tables/main_table_4.tex,Recompute pooled and within-protein correlations from early/late rows; retain clustered CI provenance.
Table 5,tab:prospective-validation,paper/current/source_analysis/77_analyze_confirmation_v1_fresh100ns_preliminary.py; tools/export_manuscript_tables.py; src/posegate/policy.py,paper/current/data/prospective_validation/measurements.csv; configs/posegate_5ns_v2.yaml,paper/current/data/prospective_validation/metrics.csv; paper/current/data/prospective_validation/correlations.csv; paper/current/tables/main_table_5.csv; paper/current/tables/main_table_5.tex,Current table uses 5 ns resource accounting (855 ns); preserved source summary uses 6 ns (846 ns). Actual savings zero; unflagged is unresolved.
Table 6,tab:cross_ligand_results,paper/current/source_analysis/summarize_current_frames.py; paper/current/source_analysis/summarize_current_crossligand.py; paper/current/source_analysis/77_analyze_confirmation_v1_fresh100ns_preliminary.py,paper/current/data/current_statistics_v2/analysis_rows.csv; paper/current/data/current_statistics_v2/crossligand_rows.csv; paper/current/data/prospective_pilot/measurements.csv; paper/current/data/prospective_validation/measurements.csv,paper/current/tables/main_table_6.csv; paper/current/tables/main_table_6.tex,AUROC uses the same corrected late class while the early coordinate representation changes.
Table S1,tab:simulation-protocol,Authored preparation/protocol record; no statistical generator,paper/current/tables/supp_table_S1.tex,paper/current/tables/supp_table_S1.tex,"Protocol settings and references are documented, not inferred from result tables; no numerical CSV."
Table S2,tab:prefix-clean-risksets,paper/current/source_analysis/remeasure_current_frames.py; paper/current/source_analysis/summarize_current_frames.py; paper/current/source_analysis/finalize_supplement_temporal.py,paper/current/data/current_frames_v2/; paper/current/data/current_statistics_v2/analysis_rows.csv,paper/current/data/current_statistics_v2/statistics.json; paper/current/data/final_protein_frame_control/primary_temporal_statistics.json; paper/current/tables/supp_table_S2.csv; paper/current/tables/supp_table_S2.tex,Expanded 81 to 46/45/31; primary 52 to 30/29/20. Alias tab:prefix-clean-auroc.
Table S3,tab:time-to-event,paper/current/source_analysis/summarize_current_frames.py; paper/current/source_analysis/finalize_supplement_temporal.py,paper/current/data/current_frames_v2/; paper/current/data/current_statistics_v2/crossing_times.csv,paper/current/data/final_protein_frame_control/primary_temporal_statistics.json; paper/current/tables/supp_table_S3.csv; paper/current/tables/supp_table_S3.tex,"Retrospective sustained crossing, not demonstrated predictive lead time; denominator 39 primary non-retained trajectories."
Table S4,tab:pocket-frame-control,paper/current/source_analysis/remeasure_current_local_pocket.py; paper/current/source_analysis/summarize_current_frames.py,paper/current/data/current_statistics_v2/local_pocket_rows.csv; paper/current/data/current_statistics_v2/analysis_rows.csv,paper/current/data/current_statistics_v2/local_pocket_statistics.json; paper/current/tables/supp_table_S4.csv; paper/current/tables/supp_table_S4.tex,Current frozen 8 angstrom frame. Archived 6/8/10 angstrom radius sensitivity is listed separately below.
