column,pandas_dtype,category,description
audit_row_id,int64,identity,Stable 1-based row number in the generated audit table.
complex_id,str,identity,Canonical protein|ligand|pocket|replica join key.
protein,str,identity,Protein identifier and LOPO grouping unit.
ligand,str,identity,Ligand identifier.
pocket,str,identity,Predicted pocket identifier.
replica,str,identity,Replica directory identifier.
audit_universe,str,audit assertion,Row-level consistency or equivalence check named by the column.
in_validation3_usable_feature_cohort,bool,cohort membership,Membership in the named upstream cohort or artifact.
in_current_59row_matched_cohort,bool,cohort membership,Membership in the named upstream cohort or artifact.
in_checkpoint_artifact,bool,cohort membership,Membership in the named upstream cohort or artifact.
separate_launch_topology_path,str,separate-launch source/feature,Field from the separately launched 20 ns trajectory; exact quantity is encoded in the column name.
separate_launch_trajectory_path,str,separate-launch source/feature,Field from the separately launched 20 ns trajectory; exact quantity is encoded in the column name.
separate_launch_qc_status,str,separate-launch source/feature,Field from the separately launched 20 ns trajectory; exact quantity is encoded in the column name.
separate_launch_usable_20ns,bool,separate-launch source/feature,Field from the separately launched 20 ns trajectory; exact quantity is encoded in the column name.
separate_launch_notes,str,separate-launch source/feature,Field from the separately launched 20 ns trajectory; exact quantity is encoded in the column name.
separate_launch_n_terminal_pose_frames,float64,separate-launch source/feature,Field from the separately launched 20 ns trajectory; exact quantity is encoded in the column name.
separate_launch_pose_rmsd_18_20_A,float64,separate-launch source/feature,Field from the separately launched 20 ns trajectory; exact quantity is encoded in the column name.
separate_launch_centroid_displacement_18_20_A,float64,separate-launch source/feature,Field from the separately launched 20 ns trajectory; exact quantity is encoded in the column name.
separate_launch_pocket_retention_18_20,float64,separate-launch source/feature,Field from the separately launched 20 ns trajectory; exact quantity is encoded in the column name.
separate_launch_n_baseline_neighbors,int64,separate-launch source/feature,Field from the separately launched 20 ns trajectory; exact quantity is encoded in the column name.
separate_launch_structural_state_20ns,str,separate-launch source/feature,Field from the separately launched 20 ns trajectory; exact quantity is encoded in the column name.
late_pose_rmsd_median_last30pct_A,float64,legacy outcome,Cached median corrected ligand heavy-atom RMSD over the final 30% of available frames; valid as nominal 70-100 ns only when coverage is complete.
late_centroid_displacement_median_last30pct_A,float64,legacy outcome diagnostic,Cached median corrected unweighted ligand heavy-atom centroid displacement over the final 30% of available frames.
late_outcome_usable_stored,object,outcome/QC,"Late-outcome component, definition, or coverage field named by the column."
late_pose_retained_stored_legacy,Int64,legacy provenance,Value copied or recomputed from the pre-lock analysis for comparison only.
existing_contact_label_unstable,Int64,supporting provenance,Supporting cached field retained for audit; see the generator mapping for its exact source.
existing_contact_label_usable,object,supporting provenance,Supporting cached field retained for audit; see the generator mapping for its exact source.
existing_contact_fraction,float64,supporting provenance,Supporting cached field retained for audit; see the generator mapping for its exact source.
existing_rmsd_late,float64,supporting provenance,Supporting cached field retained for audit; see the generator mapping for its exact source.
existing_drift,float64,supporting provenance,Supporting cached field retained for audit; see the generator mapping for its exact source.
baseline_corrected_final_frame_pose_rmsd_20ns_A,float64,coordinate baseline,Alternative coordinate-processing measurement used for controlled comparison.
baseline_no_pbc_pose_rmsd_18_20_A,float64,coordinate baseline,Alternative coordinate-processing measurement used for controlled comparison.
baseline_no_pbc_centroid_displacement_18_20_A,float64,coordinate baseline,Alternative coordinate-processing measurement used for controlled comparison.
baseline_ligand_self_aligned_rmsd_18_20_A,float64,coordinate baseline,Alternative coordinate-processing measurement used for controlled comparison.
same_traj_pose_rmsd_5ns_A,float64,same-trajectory feature,"Mean PBC-corrected, protein-CA-aligned ligand RMSD in the final 2 ns before the named checkpoint."
same_traj_centroid_displacement_5ns_A,float64,same-trajectory feature,Mean corrected unweighted ligand-centroid displacement in the final 2 ns before the named checkpoint.
same_traj_pocket_retention_5ns,float64,same-trajectory state,Mean baseline-neighborhood retention in the final 2 ns before the named checkpoint.
same_traj_pose_rmsd_10ns_A,float64,same-trajectory feature,"Mean PBC-corrected, protein-CA-aligned ligand RMSD in the final 2 ns before the named checkpoint."
